name,n_occurences
% abnormal forms,1
% area reduction,1
'happy' face,1
.net framework,4
.net remoting,1
1-center problem,1
1-planar graph,1
10-foot user interface,9
1000 genomes project,2
1080p,7
12-bit,1
16-bit,6
2 1/2d,2
2-choice hashing,1
21st century skills,1
24-hour clock,1
2d computer graphics,382
2d filters,3
2d to 3d conversion,88
3-dimensional matching,10
3-manifold,1
32-bit,3
3d city models,32
3d computer graphics,2470
3d computer graphics software,5
3d echocardiography,1
3d interaction,196
3d lookup table,4
3d modeling,311
3d molecular structures,2
3d optical data storage,1
3d pose estimation,52
3d printing,94
3d projection,42
3d radar,1
3d reconstruction,690
3d reconstruction from multiple images,3
3d rendering,1426
3d single-object recognition,35
3d ultrasound,42
3d user interaction,1
3dflow,1
3did,2
3g mimo,2
3rd generation partnership project 2,1
480p,1
4d computed tomography,2
4d vector,3
5.8s ribosomal rna,1
8 mm video format,1
8-bit,3
8-bit color,6
8k resolution,2
960h technology,1
a graphics language,3
a moderate amount,2
a priori and a posteriori,20
a* search algorithm,3
a-dna,3
a-law algorithm,1
a-normal form,1
a-weighting,4
ab initio,2
ab initio quantum chemistry methods,1
abacus (architecture),3
abdominal wall,2
abductive logic programming,1
abductive reasoning,2
aberrations of the eye,1
aberrometry,1
ablation,7
abney effect,1
abnormal bmi,1
abnormality,4
abrasion (geology),1
abscissa,1
absolute deviation,2
absolute magnitude,2
absolute scale,2
absolute threshold,1
absolute time and space,1
absorptance,1
absorption (electromagnetic radiation),6
absorption of water,1
absorption spectroscopy,1
abstract and concrete,2
abstract art,8
abstract data type,15
abstract factory pattern,1
abstract interpretation,2
abstract machine,5
abstract process,1
abstract semantic graph,1
abstract simplicial complex,1
abstract space,2
abstract state machines,1
abstract structure,1
abstract syntax,5
abstract syntax tree,5
abstraction,279
abstraction (linguistics),1
abstraction inversion,1
abstraction layer,23
abstraction model checking,3
ac power,1
academic achievement,5
academic standards,1
academic writing,1
academic year,4
accelerated graphics port,2
acceleration,163
accelerator physics,1
accelerograph,1
accelerometer,55
acceptance testing,2
access control,25
access grid,6
access key,1
access management,1
access method,8
access network,5
access register,1
access time,2
accessible image,2
accessible surface area,4
accession number (library science),1
accident analysis,1
accident management,1
accidental,5
accommodation,48
accommodation reflex,1
accommodative response,2
accordion,2
accountability,7
accounting,1
accounting information system,3
accounting management,2
accounting method,1
accounting standard,1
accreditation,5
accretion disc,1
accuracy and precision,12
acetabular fracture,1
achromatic lens,2
acis,2
ackermann function,1
acknowledgement,2
acoustic ecology,1
acoustic emission,1
acoustic holography,1
acoustic levitation,1
acoustic metric,1
acoustic microscopy,1
acoustic model,7
acoustic radiation force,1
acoustic radiation pressure,1
acoustic resonance,1
acoustic source localization,6
acoustic space,7
acoustic streaming,1
acoustic wave,4
acoustical engineering,2
acoustics,65
acquiring skills,1
acquisition protocol,1
acquisition scheme,1
acquisition technique,4
acronym,2
acrophobia,3
acropolis,1
actigraphy,2
action learning,1
action plan,2
action research,1
action selection,5
actionscript,5
activation function,1
activation technique,1
active ageing,1
active appearance model,85
active camouflage,4
active contour model,50
active database,1
active defense,1
active fault,1
active galactic nucleus,1
active learning,46
active learning (machine learning),9
active listening,45
active matrix,1
active method,3
active monitoring,1
active motion,1
active networking,3
active noise control,1
active object,3
active optics,1
active pen,4
active perception,4
active queue management,2
active rectification,1
active safety,3
active set method,1
active shape model,69
active shutter 3d system,24
active surface,2
active vision,48
active-matrix liquid-crystal display,2
activities of daily living,10
activity diagram,6
activity recognition,27
activity tracker,2
activity-based costing,10
actor model,2
actor model and process calculi,1
actor–network theory,2
actuator,97
acute care,1
acute lymphoid leukemia,1
ad hoc hypothesis,1
ad hoc on-demand distance vector routing,2
ada,1
adabas,2
adaboost,13
adage,3
adaptability,36
adaptation (computer science),1
adaptation (eye),3
adapter (computing),10
adaptiv,2
adaptive algorithm,41
adaptive architecture,1
adaptive beamformer,4
adaptive behavior,4
adaptive coding,2
adaptive compression,4
adaptive control,29
adaptive equalizer,1
adaptive filter,46
adaptive histogram equalization,7
adaptive hypermedia,5
adaptive learning,12
adaptive mesh refinement,36
adaptive multi-rate audio codec,3
adaptive neuro fuzzy inference system,2
adaptive optics,22
adaptive optimization,2
adaptive performance,2
adaptive quadrature,1
adaptive representation,1
adaptive resonance theory,3
adaptive response,2
adaptive sampling,58
adaptive scalable texture compression,18
adaptive simulated annealing,1
adaptive software development,1
adaptive stepsize,1
adaptive system,29
adaptive user interface,5
adaptive website,1
added value,16
adder,11
addictive nature,1
additional documentation,3
additive color,5
additive synthesis,1
additive white gaussian noise,3
address bar,1
address bus,1
address decoder,1
address space,5
addressability,4
adept,1
adhesion,2
adhesive,1
adiabatic process,2
adiabatic theorem,1
aditya,1
adjacency list,49
adjacency matrix,11
adjacent-channel interference,1
adjoint equation,1
adjunct,1
adjunction,1
administrative division,1
admiration,1
admission control,2
admittance,17
adobe,24
adomian decomposition method,1
adornment,1
adreno,1
adsorption,1
adult learning,1
advanced audio coding,2
advanced composite materials,2
advanced driver assistance systems,30
advanced encryption standard,3
advanced manufacturing,3
advanced measurement approach,1
advanced microcontroller bus architecture,1
advanced persistent threat,1
advanced placement,1
advanced spaceborne thermal emission and reflection radiometer,1
advanced traffic management system,7
advanced trauma life support,1
advanced very-high-resolution radiometer,1
advection,28
adventure,43
adverbial,1
adversarial information retrieval,1
adversarial machine learning,2
adversarial system,22
adversary,25
adverse effect,3
advertising,27
advertising research,1
aeolian processes,1
aerial image,43
aerial perspective,9
aerial photography,24
aerial survey,6
aerial video,8
aerobic exercise,1
aerodynamic force,3
aerodynamics,20
aeroelasticity,1
aeronautical chart,1
aeronautics,1
aerosol,7
aerospace,8
aes implementations,1
aesthetics,38
aether,2
affect (psychology),54
affection,3
affective computing,28
affective design,1
affine arithmetic,10
affine curvature,1
affine geometry,3
affine manifold,1
affine shape adaptation,3
affine space,2
affine transformation,139
affine-regular polygon,12
affinity analysis,1
affinity diagram,1
affinity propagation,1
affinity reagent,1
affordance,44
african-american studies,1
afterimage,10
afterimage (shader effect),2
afterlife,2
aftershock,2
age progression,7
aged appearance,1
ageing,7
agent architecture,8
agent-based computational economics,1
agent-based model,7
agent-based social simulation,1
agentsheets,3
agglomerate,1
aggregate (composite),1
aggregate behavior,1
aggregate data,7
aggregate function,3
aggregation problem,1
agile manufacturing,1
agile software development,18
aging in place,1
agonist–antagonist,1
agora,3
agree to disagree,1
agribusiness,1
agricultural economics,2
agricultural education,1
agricultural engineering,2
agricultural land,1
agricultural machinery,1
agricultural robot,1
agriculture,9
agroforestry,1
agronomy,1
agrégation,1
ai-complete,1
aibo,6
aid communication,2
air compressor,1
air conditioning,1
air entrainment,1
air mass,1
air navigation,1
air permeability specific surface,1
air pollution,5
air quality index,15
air traffic control,28
air traffic flow management,2
air traffic management,2
airborne visible/infrared imaging spectrometer,1
aircraft accident,1
aircraft noise,2
airfield traffic pattern,3
airflow,10
airfoil,1
airplane,4
airport security,1
airspace class,6
airspeed,1
airway,4
airway management,1
airy wave theory,1
aisle,1
aisoy1,1
ajax,19
aka,4
akaike information criterion,2
alarm,5
alarm management,2
albedo,53
alchemy,2
aleatoric music,1
alembic,1
aleph,1
alertness,2
algebra,11
algebra representation,2
algebra tile,1
algebraic analysis,1
algebraic connectivity,2
algebraic curve,10
algebraic differential equation,2
algebraic equation,3
algebraic expression,1
algebraic function,1
algebraic geometry,10
algebraic geometry of projective spaces,1
algebraic interior,1
algebraic number,34
algebraic operation,5
algebraic reconstruction technique,4
algebraic solution,1
algebraic specification,5
algebraic structure,3
algebraic surface,14
algebraic topology,4
algol 68,1
algorism,2
algorithm,1262
algorithm design,331
algorithm engineering,3
algorithmic art,10
algorithmic composition,3
algorithmic efficiency,22
algorithmic learning theory,3
algorithmic program debugging,23
algorithmic skeleton,1
algorithmic trading,2
algorithmics,9
alias,19
aliasing,178
aliasing (computing),1
alibi,1
alice and bob,1
alien,8
alien environment,1
alien language,1
alienation,2
alignment level,1
alignment-free sequence analysis,4
all critical points,1
all fingers,1
allegory,1
allele frequency,4
alley,1
alliance,4
allocator,2
allometry,1
allonge,1
alloy,1
alluvium,1
almost everywhere,2
almost surely,5
aloha,1
alpha (ethology),3
alpha beta filter,1
alpha compositing,78
alpha mapping,17
alpha particle,1
alpha shape,5
alpha value,2
alpha-numeric grid,3
alphabet,15
alphabetical order,2
alphanumeric,17
altera quartus,1
alternate frame rendering,971
alternating current,1
alternating direction implicit method,1
alternative dispute resolution,1
alternative medicine,1
alternative process,1
alternative splicing,3
altimeter,1
altitude,9
altivec,1
altmetrics,1
alu element,1
aluminium,1
alvar,1
alvey,1
always true,3
alzheimer's disease,1
am/fm/gis,4
amalgam (dentistry),1
amateur,41
amazon rainforest,1
ambient intelligence,19
ambient noise level,5
ambient occlusion,161
ambient space,5
ambienttalk,1
ambiguity,75
ambiguity resolution,1
